Despesa,Des_Despesa,Fornecedor
PB1231.5,PB1231.5 - [LICENSE] Maintenance SW AutoCAD / Autodesk,MapData Tecnologia Inf. e Com. Ltda
PB1231.6,PB1231.6 - [LICENSE] Maintenance TrakSYS - Powertrain,HSI
PB1231.7,PB1231.7 - [LICENSE] Maintenance SW Zebra Funilaria (Body Shop),Zebra
PB1231.8,PB1231.8 - [LICENSE] Maintenance SW Zebra Montagem Final (General South),Zebra
PB1231.9,PB1231.9 - [LICENSE] Maintenance Charon-AXP/ES40,Solveit
PB1231.10,PB1231.10 - [LICENSE] Maintenance Catia V5 - Hybrid Design 2,Dassault
PB1231.11,PB1231.11 - [LICENSE] Maintenance Eplan Electric P8,EPLAN
PB1231.12,PB1231.12 - [LICENSE] Maintenance Citrix,EDP4YOU S.R.L
PB1231.13,PB1231.13 - [LICENSE] Maintenance Autodesk / Autocad,MapData Tecnologia Inf. e Com. Ltda
PB1231.14,PB1231.14 - [LICENSE] PamStamp - Dies feasibility,ESI Group
PB1231.15,PB1231.15 - [LICENSE] Maintenance Eplan Electric P8 - complementar,EPLAN
PB1231.1,PB1231.1 - [LICENSE] Maintenance TCM / NX / Process (Manufacturing) - complementar,Siemens
PB1232.18,PB1232.18 - QDAS Extended Support,
PB1232.2,PB1232.2 - [SRS / PMS / SACM / SIC] AMS,Reply
PB1232.3,PB1232.3 - [OSS] AMS Order Slotting - LATAM,Accenture
PB1232.4,PB1232.4 - [CW] PLS - Color Wheel System,Engineering do Brasil
PB1232.5,PB1232.5 - [UTE] PLS Ute Digital Brasil (On Site),Engineering do Brasil
PB1232.6,PB1232.6 - [WCM FI] AMS - Focused Improvement (1 SR / 1 PL),Reply
PB1232.7,PB1232.7 - [TCM] AMS - PLM,Stefanini
PB1232.8,PB1232.8 - [imSystem] AMS - Perdas Prod. Mão de Obra,Fator M Sistemas
PB1232.9,PB1232.9 - [EJIT] AMS Sistema web de chamada de materiais JIS/JIT,IBM
PB1232.10,PB1232.10 - [TRAKSYS] AMS - Serviços de Suporte Customizados (CSS) Traksys Powertrain,HSI
PB1232.11,PB1232.11 - [SGF] AMS - Sistema de Gestão de Ferramentas,GTCON
PB1232.12,PB1232.12 - [SIMCA] AMS Gestão de Resíduos,Lumiar Soft
PB1232.13,PB1232.13 - [TCM] Gestão de Workstation (Parte Industrial),IBM
PB1232.14,PB1232.14 - [TCM] AMS CAD/PLM (Parte Industrial),IBM
PB1232.15,PB1232.15 - [TCM] Suporte on site Teamcenter (Parte Industrial),IBM
PB1232.16,PB1232.16 - [PLS] Suporte On Site para HW de linha,IBM
PB1232.17,PB1232.17 - Suporte On Site Funilaria,Engineering do Brasil
PB1232.1,PB1232.1 - [PLS] - Solução SRFCA Torque,Reply
PB1233.2,PB1233.2 - AMS Sistemi di automazione,FCA Itália
PB1233.3,PB1233.3 - SGPP- SISTEMA GESTIONE PROD PRESSE (MES),FCA Itália
PB1233.4,PB1233.4 - (LVCOP) LV-COP-2002,FCA Itália
PB1233.5,PB1233.5 - (POINT) PROGRAM.ORDINI INTEGR.CONTROLLO,FCA Itália
PB1233.6,PB1233.6 - (MANENG) MANTENIMENTO MANUFACTURING ENGI,FCA Itália
PB1233.7,PB1233.7 - AUTOMAZIONE INTEGRATA,FCA Itália
PB1233.8,PB1233.8 - I.I.S. PRESS SHOPS & TOOLS,FCA Itália
PB1233.9,PB1233.9 - License SGPP- SISTEMA GESTIONE PROD PRESSE (MES),FCA Itália
PB1233.10,PB1233.10 - S.I.I. PER MANUFACTURING ENGINEERING,FCA Itália
PB1233.11,PB1233.11 - (MANENG-TICON) MANTENIMENTO INFRASTR TIC,FCA Itália
PB1233.12,PB1233.12 - APM Services for LATAM,FCA Itália
PB1233.13,PB1233.13 - Internal Resources - ASSEMBLY_MFG,FCA Itália
PB1233.14,PB1233.14 - Internal Resources - ASSEMBLY_MFG ENG,FCA Itália
PB1233.15,PB1233.15 - Internal Resources - INDUSTRY 4.0,FCA Itália
PB1233.16,PB1233.16 - Costi running WCM Tools,FCA Itália
PB1233.17,PB1233.17 - QDAS  - QSTAT Support,FCA Itália
PB1233.18,PB1233.18 - E&T - EMEA/LATAM/APAC - Supporto stabilimenti,FCA Itália
PB1233.19,PB1233.19 - License QDAS  - QSTAT Support,FCA Itália
PB1233.20,PB1233.20 - SUPPORTO ON SITE ME,FCA Itália
PB1233.21,PB1233.21 - (MANENG-TICON) MANTENIMENTO INFRASTR TIC,FCA Itália
PB1233.22,PB1233.22 - (WEB-TRIMM) DECISION SUPP.SYSTEM E REPOS,FCA Itália
PB1233.23,PB1233.23 - S.I.I. PER WEB MANUFACTURING,FCA Itália
PB1233.24,PB1233.24 - Costi running WCM Tools,FCA Itália
PB1233.1,PB1233.1 - (MANENG) MANTENIMENTO MANUFACTURING ENGI,FCA Itália
PB1234.1,PB1234.1 - Espaider Cível - Manutenções Evolutivas,Fácil Informática
PB1235.1,PB1235.1 - Manutenção Software Espaider Cível,Fácil Informática
PB1236.1,PB1236.1 - Digitalização de Documentos Juridico (DocSite),
PB1237.1,PB1237.1 - [ME] Manutenções Evolutivas - Qualidade,IBM e Diversos
PB1238.2,PB1238.2 - Manutenção SAS Market Indicator Analysis,SAS Institute
PB1238.1,PB1238.1 - Manutenção Software Autolab Gestão de laboratórios,Atseven
PB1239.2,PB1239.2 - Serviços Quality R3,Reply
PB1239.3,PB1239.3 - Serviços Quality Development,Reply
PB1239.4,PB1239.4 - Serviços HD1 e HD2,Reply
PB1239.5,PB1239.5 - AMS QDA9 - Calibration Tools Faasa,ASI Datamyte
PB1239.1,PB1239.1 - AMS QDA9 - Calibration Tools,ASI Datamyte
PB1240.2,PB1240.2 - EXTENDED TRACEABILITY,FCA Itália
PB1240.3,PB1240.3 - System Tracking / CF2,FCA Itália
PB1240.4,PB1240.4 - ICT per QUALITY,FCA Itália
PB1240.5,PB1240.5 - CUPS - Customer Product System,FCA Itália
PB1240.6,PB1240.6 - Gestione Yardhold,FCA Itália
PB1240.7,PB1240.7 - PROCESS AUDIT,FCA Itália
PB1240.8,PB1240.8 - METROLOGIC CENTER,FCA Itália
PB1240.9,PB1240.9 - Fast-Failures Traceability,FCA Itália
