"Despesa_Sap","Despesa_Tm1"
"Fev - PB1216.34 - OPTIS PRISTINE LIMITED FAT 40304 PO","PB1216.18 - MANUTENÇÃO SW AESTHETICA"
"Fev - PB1216.35 - IRRF FAT 40304 OPTIS PRISTINE LIMITED PO","PB1216.18 - MANUTENÇÃO SW AESTHETICA"
"Fev - PB1216.36 - OPTIS PRISTINE LIMITED FAT 40304 PO","PB1216.18 - MANUTENÇÃO SW AESTHETICA"
"Fev - PB1216.37 - AVL LIST GMBH FAT 3181007647 ALI PO","PB1216.33 - HELICAL 3D"
"Fev - PB1216.38 - ADVANCED FAT 972 PO 61984575","PB1216.33 - HELICAL 3D"
"Fev - PB1216.39 - PROV MANUTENÇÃO SW LOGICAL CABLE 7/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.40 - PROV MANUTENÇÃO SW A2MAC1 6/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.41 - PROV MANUTENÇÃO ELEMENTS 5/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.42 - PROV MANUTENÇÃO SW CAMEO 4/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.43 - PROV MANUTENÇÃO SW FLOWMASTER 3/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.44 - PROV MANUTENÇÃO SW SYMTA 3/12","PB1216.36 - MANUTENÇÃO SW SYMTA"
"Fev - PB1216.45 - PROV MANUTENÇÃO VIRTUAL LAB 3/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.46 - PROV TCAE / UNIGRAPHICS 2/12","PB1216.2 - TCAE / UNIGRAPHICS"
"Fev - PB1216.47 - PROV MANUTENÇÃO SW PULSE 2/12","PB1216.14 - MANUTENÇÃO SW PULSE"
"Fev - PB1216.48 - PROV E STAGE E MAGICS 2/12","PB1216.4 - HYPERWORKS E PBS"
"Fev - PB1216.49 - PROV GT POWER 1/12","PB1216.8 - GT POWER"
"Fev - PB1216.50 - PROV MATLAB 1/12","PB1216.6 - MATLAB"
"Fev - PB1216.51 - PROV RENV AN SW ANSYS HFSS 1/12","PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE"
"Fev - PB1216.52 - MANUT SW ICEM SURF 4/12","PB1216.15 - MANUTENÇÃO SW ICEM SURF"
"Fev - PB1216.53 - MANUT METAPOST 5/12","PB1216.42 - METAPOST"
"Fev - PB1216.54 - MANUT SW MOLDFLOW 3/12","PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE"
"Fev - PB1216.55 - HELICAL 3D ANSOL 3/12","PB1216.33 - HELICAL 3D"
"Fev - PB1216.56 - MANUT SW EXCITE 7/12","PB1216.9 - EXCITE"
"Fev - PB1216.57 - MANUT SW AESTHETICA 3/12","PB1216.18 - MANUTENÇÃO SW AESTHETICA"
"Fev - PB1216.58 - SW SOFTWARE TESTE LAB 2/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.59 - MANUTENÇÃO SOFTWARE ABAQUS E ISIGHT 11","PB1216.3 - ABAQUS - 140 TOKENSE ISIGHT"
"Fev - PB1216.60 - MANUTENÇÃO SW ANSA 11/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.61 - MANUTENÇÃO SW SPECTRENDS 12/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.62 - RENOVAÇÃO ANUAL STARCCM+ 9/15","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.64 - MANUTENÇÃO SW HYPERWORKS E PBS 7/12","PB1216.4 - HYPERWORKS E PBS"
"Fev - PB1216.65 - MANUTENÇÃO SW INCA 11/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.66 - MANUTENÇÃO AUTOFORM 7/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.67 - MANUTENÇÃO PACOTE ADOBE 7/12","PB1216.37 - PACOTE ADOBE"
"Fev - PB1216.68 - MANUTENÇÃO SW VI GRADE 9/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.69 - MANUTENÇÃO DE LICENÇAS KULI 5/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.70 - MANUTENÇÃO SW MADYMO 8/12","PB1216.12 - SW MADYMO"
"Fev - PB1216.71 - MANUTENÇÃO DE LICENÇAS E3 10/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.72 - MANUTENÇÃO AUTODESK ALIAS/SHOWCASE 5/","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.73 - MANT SW ELA IBM 5/12","PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE"
"Fev - PB1216.74 - MANUTENÇÃO ALTIA / MATLAB 4/12","PB1216.27 - ALTIA / ALTIA MATLAB"
"Fev - PB1216.75 - MANUTENÇÃO SW NCODE 4/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1217.1 - 0800033795 FRAMEWORK TECNOLOGIA EM","PB1217.6 - GESTÃO DO SISTEMA E-CHANGE ( PARTE ENGENHARIA)"
